nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis
10_104431_104500,48.5863354835093,23.421886657019108,463.2365959627209,1.355045986361677,0.4802447663757828,3.029342249571321,73.07532377032437,73.6029502883833,7.042277468363143,8.403380541160734,23.421886657019108,60.872640028382506,461.8815499763592,5417.394291154224,52.46925948722177,26.234629743610885,1.504030362510605,1.0330894559803256,0.292903616253739
10_104817_104874,40.24297197148927,28.737047962204844,227.143057923418,3.1668947707011483,0.4804151479426102,2.639024126097889,48.82065821872747,49.24704760885592,7.309532394100928,11.824900102033334,28.737047962204844,46.77567630821833,223.97616315271688,2425.2716981889216,34.950776206185,17.4753881030925,1.2131474348692537,0.7070320902517522,0.1953521895520111
10_104957_105096,104.48081172899252,50.02948345150209,1491.747474163666,3.6984409127724542,0.4466529872270993,4.129276781063313,180.06741989175697,180.7139836233613,18.729592403378703,24.30103467596134,50.02948345150209,94.8738868348984,1488.0490332508934,32657.54387702449,70.57285215893708,35.28642607946854,1.7234496642199213,0.9071823483152448,0.163821034258889
10_106081_106190,103.99366986992786,29.08910062627741,2349.509799777131,0.7049942108274216,0.3525855632609967,3.6499936087983182,249.0568701287396,250.196724459811,7.271116748536067,10.764496866230331,29.08910062627741,114.56113088572856,2348.8048055663035,62598.40093041859,103.79663401949824,51.89831700974912,2.39492336831898,0.9022586191450768,0.2436395709425854
10_106081_108136,1613.8240993280865,666.8995785839081,345512.7203464864,19.83237304226036,0.4246642082112115,15.85481280243292,7862.934574333806,7864.8474644179,222.9689185615936,332.331765009378,666.8995785839081,1676.979536716586,345492.8879734442,61855825.63856066,1344.647771707208,672.323885853604,4.8722376729951735,0.3612866844276421,0.1961338045766688
10_107005_108136,871.696067236243,366.67217678578936,92911.73259745256,8.650416054845051,0.4328725888711279,11.763145940426002,2934.708558690949,2936.0056675095066,127.31365139410428,170.15109519357122,366.67217678578936,988.1772253374086,92903.08218139772,8620129.279647943,818.0261301438373,409.0130650719187,3.3666649064915397,0.5162596697599068,0.2096758131305058
10_14313_17245,2148.0609022190893,1049.7999845401173,178819.5100527652,6.102375090797512,0.4551391748980078,18.82624375006081,4419.8843097188665,4420.637977438509,350.4103118915468,520.2933432773883,1049.7999845401173,2310.9999293451947,178813.4076776744,19542040.127571627,1790.7065860678065,895.3532930339031,2.0576159200853352,0.7454454737179502,0.1877627814889489
10_1439_1738,198.1363049709974,114.77282706685364,1380.4207851538367,4.554443111179305,0.50470306294769,6.0989199348170935,231.88811156784797,232.275560646001,36.155839321505184,49.839369311913934,114.77282706685364,249.1035428968545,1375.8663420426574,53951.93607341408,199.26417358494052,99.63208679247028,1.1703464016944851,1.078496142046754,0.2436318841024237
10_18334_68401,37937.61882682754,16558.051987345847,62889768.032348014,56.23012563678462,0.4399151514889355,80.00902498368909,314927.9229571933,314931.06800633186,4989.5687589692325,7667.019156251463,16558.051987345847,39771.588498484765,62889711.80222238,99181577595.60884,32104.569342233302,16052.284671116651,8.301204258357204,0.2036615232977076,0.1963024884451451
10_1_2859,2042.5542901697563,1060.3155054678548,268284.1822250907,26.944724853636952,0.4665726656992781,18.767681806172515,6006.290849699115,6007.341543462019,348.3470400263571,503.96555585336057,1060.3155054678548,2287.9709942196773,268257.23750023707,36088152.41980463,1784.0054383663169,892.0027191831584,2.940578313441026,0.4906050052926293,0.2151344072748867
10_28062_32585,3375.372817666947,1574.9137079930936,267520.4636079724,7.294696549791229,0.4467654630940376,23.35658854614281,7790.71278660146,7791.573971900791,525.1332650273526,759.4778176553189,1574.9137079930936,3692.57947107144,267513.1689114226,60708624.95960186,2933.101653416121,1466.5508267080604,2.308104380595916,0.6933097749811672,0.1871421396277802
10_34225_36084,1314.3809845809446,678.283072534437,49643.95865654804,17.233683215037665,0.4717049373608143,15.007515404820476,2010.9528560064728,2011.4936528042028,218.42433677357965,320.94672862370567,678.283072534437,1563.8571876905123,49626.724973333,4046106.715271595,1242.9104590668069,621.4552295334034,1.5299619209323936,0.9489500116522774,0.2065391289429446
10_36224_37462,897.7995089911701,452.2422415807251,64753.70439669219,5.190050627521195,0.4600136175882692,12.287755005984062,2134.978720705671,2135.840815923808,146.87083481831743,219.50987684045293,452.2422415807251,985.3465300375616,64748.51434606467,4561815.990966078,765.8366531971087,382.9183265985544,2.3780127960915034,0.6260820256744887,0.2036925117849279
10_3637_7559,2829.734717753628,1464.3800690217483,293745.52269664546,11.02890566395717,0.4621163455579158,21.67113237618709,5856.695000538251,5857.441599432295,464.615481331279,698.1637391908699,1464.3800690217483,3337.943771310266,293734.49379098153,34309622.09075996,2639.7800321193963,1319.8900160596982,2.069697545778271,0.699381467844782,0.2111892989711444
10_39105_40963,1443.550115029294,608.7747066816074,262668.2714901715,11.17324965427925,0.4292657803945321,15.1926522270017,6333.696171552559,6335.4003815044425,223.93706081633863,317.6781476283789,608.7747066816074,1480.0400030333294,262657.0982405172,40137297.99396664,1162.3618554049503,581.1809277024752,4.38758315739113,0.3953972778629801,0.1850030589563751
10_41103_42339,973.6027227290724,422.01747604250767,124867.54618084231,8.348014141878181,0.4235129213459222,12.185851461751154,3720.8757009411033,3722.380605229506,126.9370692875743,190.88688976729247,422.01747604250767,989.0757090927718,124859.19816670044,13856117.37018878,798.1888193254794,399.0944096627397,3.8217597527986,0.4447221227092226,0.1886807675992171
