nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,class
10_104431_104500,0.0456671864557808,0.0037263859543876,2.363332590777456,0.0001892105717376,489.04552845528406,220.9574457264826,0.285924590088781,0.2880825421374373,0.0009158399480678,0.0020392647893467,0.0037263859543876,0.0085766721518215,2.3631433802057185,0.0829915510843683,0.0065374073624748,0.0032687036812374,6.261051145895302,0.4400544964149845,0.1017476583634186,
10_104817_104874,0.0261157024793388,0.001474775839571,1.3120661157024796,0.0001782619128997,702.0042194092821,288.3718698119825,0.1750062787324861,0.1766192739245654,0.000464154640216,0.0007113819445839,0.001474775839571,0.0035884839758417,1.3118878537895795,0.0311943679216406,0.0028771020312577,0.0014385510156288,6.701189786908483,0.4224007301606683,0.3025646968891396,
10_104957_105096,0.0197666364750385,0.0019615542550378,2.2829665938515618,2.612724889377148e-06,2310.2902066487013,770.5076065514272,0.194093906498298,0.1948061801084473,0.0003205841058315,0.0007876196250156,0.0019615542550378,0.0049975361069977,2.2829639811266724,0.0379494478084448,0.0042099164819821,0.002104958240991,9.819268277807446,0.2752031097919635,0.2954070319565532,
10_106081_106190,0.0942440387806795,0.0168983596463358,5.679535330596551,0.0006459838520088,378.45010812480695,186.96730878866467,0.5453592368358515,0.5479256474197172,0.0051750795680508,0.0075428467918189,0.0168983596463358,0.0493787477952922,5.678889346744541,0.3002225151003162,0.0418359010034733,0.0209179505017366,5.786670901328698,0.4254755796368263,0.1751202761376096,
10_106081_108136,0.1524655091132248,0.0211637834196274,193.56629659849355,1.484533896870941e-06,4488.446844886929,3498.111794845143,4.271029142326716,4.272069714675527,0.0048074985472085,0.0084397030768327,0.0211637834196274,0.0525672194130166,193.56629511395963,18.25057964704784,0.0441275163361838,0.0220637581680919,28.0130841865024,0.0922272276667739,0.1497000787855047,
10_107005_108136,0.0628796657254865,0.0069285641991849,52.790714405075605,1.56208080780609e-06,5984.976685090689,3472.783773714864,1.5701478567892009,1.5708436901301552,0.0011547560852509,0.0023763405928565,0.0069285641991849,0.0158468376801887,52.7907128429948,2.4675498988217237,0.0134704970873322,0.0067352485436661,24.97067754214831,0.1069028651366303,0.1568396027845731,
10_14313_17245,0.0910719985090102,0.0080322979853419,217.52726251907424,7.941567413165213e-06,10724.115893537137,8758.484931103081,4.017731444249332,4.018417239499569,0.0015399172166463,0.0028536637902943,0.0080322979853419,0.0200627536301744,217.5272545775068,16.14767711070734,0.0172090898398801,0.00860454491994,44.11599075485137,0.0620049162139929,0.2116169503692129,
10_1439_1738,0.0222086181682141,0.0030418209770154,5.31946853495675,7.365432057091708e-05,4457.728943338442,1492.5902160327782,0.3079298088509741,0.3084495219783234,0.0008687989065595,0.0015148096868984,0.0030418209770154,0.0057488150459027,5.319394880636179,0.0951411076086562,0.0042340053590043,0.0021170026795021,13.86532950941072,0.1867321380419647,0.2289508149032857,
10_18334_68401,1.418228192693367,0.0752459041273125,57566.55394280095,1.31727908916733e-06,11767.029748323082,43142.12159404733,257.2783892333804,257.2809587154883,0.0133028921064975,0.0250138727815926,0.0752459041273125,0.2400938741647462,57566.55394148368,66193.4917175608,0.2150800013831535,0.1075400006915767,181.4083167707879,0.0156598728626346,0.1577781017021788,
10_1_2859,0.0871054304074567,0.0075056043926932,201.628067403432,9.081928743096802e-06,10929.28415079048,8785.327945059194,3.772090874849935,3.772751428374804,0.0014380337366126,0.0028778826606187,0.0075056043926932,0.0177709939161749,201.62805832150323,14.233653340304125,0.0148931112555561,0.007446555627778,43.30488761957856,0.0633069260437133,0.1960782517862359,
